aerosol_type,date,Absorption_Angstrom_Exponent_440-870nm,Asymmetry_Factor-Coarse[440nm],Lidar_Ratio[440nm],Depolarization_Ratio[440nm],Refractive_Index-Real_Part[1020nm],Refractive_Index-Real_Part[440nm],Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Fine[440nm],Refractive_Index-Imaginary_Part[440nm],Single_Scattering_Albedo[440nm]
BBD,1997-08-16,-0.3478412061474197,1.3764917316626966,1.4723792770582216,-0.8162262770223411,0.5729779758899596,0.7485325747178582,-1.2796458280914904,-0.2549096920802494,3.0673733408071895,-1.5824563849884936
BBW,1999-10-17,0.15715126419027334,0.041115571289965375,0.7885950631342489,-0.8139468474679342,0.42178664158581664,0.7894859973071593,-0.7907200801019063,0.3179521208655219,1.4628732095635282,-0.2577479274069755
MD,1999-03-28,-0.20928674326907126,-1.1306905872323314,-0.6354404803120424,-0.60030986588921,0.21626670260335493,-0.9203401779214219,1.2519448078035516,-0.6067763115632978,-0.010563969060248476,-1.2944176706503256
PD,2002-06-01,0.47945432366965124,0.5681886096780581,0.907791937439024,0.02603102641455837,1.3661509758547776,0.43514986273019146,-0.1000008756279387,0.23291438948651988,0.26548005707842653,-0.38618924173522146
UID,2004-01-30,-3.090879872723893,2.793408916952697,0.8261436763535813,0.9485856816013828,-0.29695370149080513,0.027396220428050698,0.8691159898398383,1.4011788522504558,-0.7886810469819618,0.8755577872540206
MD,2002-04-18,-0.5239780683262919,-0.9905210668398777,-1.1388468710487358,-0.6529916622136974,0.17423614186887884,-0.7196921281461056,1.1653886770880033,-0.7464542980824967,-0.12559127163050943,-1.08462174460694
PD,2011-12-22,0.04384440610975475,0.40005731724424637,-0.8407599349887188,-0.03420565700605817,-0.028152482342807077,0.6018199917626421,-0.4488521944629945,-0.1838437173578855,0.20207391916163658,0.03502040298080913
UI,2011-07-31,-0.37348694446569947,-0.21928108275831543,-0.2887305735948989,-0.8215772783167291,-2.2554629858614113,-0.5601963645488283,0.2586955890891506,1.2907505206016696,-0.9063120400223513,1.326361615974728
MD,2007-06-28,2.9854336414954714,-0.7851038758000812,-1.9522140298777546,2.292640810348865,-0.4597751384337323,1.134919213929929,1.4418002240535481,-1.3110834612135878,-1.0666114587032802,-0.3584862131546196
BBD,2003-09-11,0.1875938254974149,4.104939074461629,2.1824475202357276,-0.8237758770358734,0.4752851137242054,0.11286423278832666,-0.803426938669822,0.2677250409865573,2.598857294558128,-1.2676492420271044
MD,2002-07-26,1.0405318514408166,-0.5864331517626747,0.5313471172486088,1.0383079087429334,0.6008902222230345,0.5740353828156365,0.29055883780062436,-0.017488779035359565,-0.4871575057888157,-0.13938044165349286
PD,2013-02-27,0.5298370932387587,-1.0928743060003725,-0.6106074192069646,-0.22704628585234637,0.19925351166610789,-0.032207289213358144,-0.16618332050518592,-0.4452501389974576,0.5005356156203916,-0.8316608763496741
BBD,2009-08-22,0.22677247301171238,1.2435248073309721,0.4898039707080711,-0.8167435943680221,1.0405081019689284,1.8097603948579226,-1.662688206703403,-0.612317518169329,2.9967612795510807,-1.2777230706018705
MD,2004-03-04,0.38302303258692,-0.8208410571382193,0.3588951749295407,-0.060776825505459424,0.6522565042306322,-0.6795623075782682,1.4883350892963767,0.7692240288560704,0.38947525110421843,-0.6284267084722135
UI,2012-09-23,0.13821917986441748,-0.6013793341626269,1.1836595135771246,0.7108593156540275,0.5671536725020002,-0.07338369349458077,-1.1062986499473715,-0.09164199743822801,0.1637989062154586,1.7500926269262342
MD,2012-06-14,3.0283602629030595,-0.9154188870019341,-0.9495062755887278,2.0543515079945482,0.43806878528011245,0.41200227604928263,1.2366752214572378,-1.3776571005803473,-0.8472455527630944,-0.5826288989431252
BBD,1997-08-15,0.3586769608337264,0.2237157017603528,1.1669126860510166,0.5007584089819412,-0.18700063463901268,-0.5640920793743105,-1.3747657407998672,-0.39698227145419646,-0.41306778215929624,1.2664154029774766
BBW,1999-10-11,0.13125749818787863,2.5368416254639516,1.2358230137764266,-0.8257158170821772,-1.178515481510354,-0.6332002917732285,-0.1714582685157313,0.9483633224196549,0.13613616288181074,0.525492244280957
MD,1999-03-26,1.5980478313557709,-1.2985460807006368,-1.4974763565917102,3.195682901903283,0.15894632194938466,1.1651891349741932,1.8515590397553081,0.19814331803366733,-1.066276804384531,-0.19226804167100572
PD,2002-05-29,0.017401038600990248,0.0928915232375643,0.5360217507062522,0.10422605006554798,0.16082764162612673,-0.5984399882181747,-0.7439716542108783,-0.5415483938008595,-0.1970314559445885,0.25200892937436326
UID,2004-01-23,-1.793691842611315,-0.34069627349632126,0.4605639867968462,-0.79782917891656,-1.5785910122843942,-1.0142451802127828,0.23919750190846942,1.270188686088571,-0.5363516906449673,0.9057792729783132
BBD,2006-09-04,1.323810979077759,1.2633080792798088,0.5513092527732832,0.26584819395534637,0.0838427139700363,-0.6141340774495592,-2.00002860660047,-0.9999842903320635,0.18677932362005342,0.4777148563192413
MD,2003-07-08,-0.20234192376855895,-0.5288548138869177,0.18808572607396695,-0.8352587215054299,0.38981630425965885,-1.401851774546318,1.1407010661560568,-1.1139946162511773,0.08706051945499935,-1.4596832821210945
MD,2012-05-16,2.1568623091463843,-0.996599251733541,-1.3820343436088687,2.0509566129135166,-0.8365904639302143,0.06656905942651299,1.2645448860473665,-2.1295196769245526,-0.9703983420628479,-0.42144764174689575
BBD,2000-10-06,-0.6397714114465644,1.0089047489050365,0.23742935547430136,-0.8271546059498526,0.8637305418594716,1.0530123687513346,-1.3368373696795082,-0.27818275982558394,1.168712063382867,-0.21493415596422594
