,Accuracy,Precision (Macro),Precision (Weighted),Recall (Macro),Recall (Weighted),F1 Score (Macro),F1 Score (Weighted)
MDC,0.8116120113662545,0.8056544120883425,0.8196866215815878,0.7958003997929639,0.8116120113662545,0.7992246984143595,0.8139707110503988
KNN-Tuned,0.981414637892635,0.9789443936209118,0.9816009956889485,0.9820715594941268,0.981414637892635,0.9803854458113058,0.9814226430732628
NB-Tuned,0.7277474848321942,0.695114725155173,0.7339701023147085,0.7107001113800081,0.7277474848321942,0.6948808766895652,0.7231001626893349
